iter	Logloss
0	0.6764851074
1	0.6626444702
2	0.6481547852
3	0.6344503174
4	0.6216691895
5	0.6099309692
6	0.5988516846
7	0.5878198853
8	0.5769956055
9	0.5673063354
10	0.5588515625
11	0.5502149658
12	0.5420484619
13	0.5343902588
14	0.5265994873
15	0.5196305542
16	0.5134056396
17	0.5073356934
18	0.5015209656
19	0.4958115234
20	0.4909185181
21	0.4858453369
22	0.4813377686
23	0.4766011963
24	0.4727952271
25	0.468821106
26	0.4652290649
27	0.4623703003
28	0.4586352844
29	0.4559502869
30	0.4523034973
31	0.4490958862
32	0.4463450928
33	0.443695343
34	0.4414850464
35	0.4394537964
36	0.4374104004
37	0.4349059143
38	0.4332437439
39	0.4313877563
40	0.4294007568
41	0.4276116943
42	0.4259190674
43	0.4243317566
44	0.4228451843
45	0.4213301697
46	0.4198459778
47	0.4185053406
48	0.4173502197
49	0.4158200073
50	0.4145497131
51	0.4133399963
52	0.411994873
53	0.4109637451
54	0.4099432068
55	0.4087715759
56	0.4078758545
57	0.4070107422
58	0.4060122986
59	0.4053425598
60	0.4044565735
61	0.4035628967
62	0.4026434937
63	0.4017891846
64	0.4009855957
65	0.4003400574
66	0.3997419434
67	0.3990806274
68	0.3983498535
69	0.3976420898
70	0.3969741516
71	0.3964727478
72	0.395999176
73	0.3953610535
74	0.3946808777
75	0.3941690369
76	0.3935533447
77	0.3929630127
78	0.3924899902
79	0.3918694153
80	0.3915724792
81	0.3912131958
82	0.3907540894
83	0.3902495117
84	0.3896429443
85	0.3892646179
86	0.388896698
87	0.3885439453
88	0.3882850342
89	0.3879917297
90	0.387756073
91	0.3876594849
92	0.3872568359
93	0.3868028564
94	0.3865437012
95	0.3862386169
96	0.3858881226
97	0.385587738
98	0.3853734131
99	0.385096405
100	0.3847196655
101	0.3844324951
102	0.3840899658
103	0.3837961731
104	0.3835551453
105	0.3832150879
106	0.3830330505
107	0.3827121582
108	0.3824116821
109	0.3820728149
110	0.3818184509
111	0.3815318298
112	0.3813042908
