iter	Passed	Remaining
0	10	10117
1	15	7511
2	21	7017
3	28	7091
4	42	8556
5	47	7860
6	53	7629
7	57	7148
8	63	6994
9	74	7409
10	87	7898
11	98	8091
12	108	8265
13	112	7910
14	116	7645
15	130	8046
16	146	8466
17	155	8488
18	161	8327
19	166	8136
20	172	8024
21	176	7850
22	180	7672
23	184	7512
24	188	7359
25	192	7212
26	196	7084
27	199	6935
28	218	7313
29	221	7174
30	229	7162
31	238	7219
32	242	7114
33	248	7053
34	255	7039
35	259	6954
36	272	7086
37	284	7189
38	291	7173
39	304	7318
40	308	7225
41	312	7135
42	320	7126
43	324	7049
44	328	6967
45	335	6955
46	341	6919
47	358	7103
48	365	7087
49	373	7094
50	382	7114
51	389	7104
52	396	7089
53	403	7071
54	408	7010
55	422	7117
56	426	7052
57	435	7066
58	439	7004
59	444	6962
60	452	6963
61	462	6995
62	469	6979
63	473	6920
64	477	6862
65	484	6857
66	488	6805
67	492	6749
68	497	6718
69	501	6665
70	505	6612
71	509	6568
72	513	6519
73	517	6470
74	520	6423
75	525	6383
76	532	6383
77	536	6337
78	539	6294
79	543	6254
80	547	6212
81	550	6168
82	554	6127
83	559	6097
84	562	6058
85	566	6020
86	570	5981
87	574	5954
88	578	5917
89	581	5881
90	585	5845
91	587	5800
92	591	5773
93	595	5740
94	599	5708
95	602	5676
96	607	5654
97	611	5625
98	614	5595
99	622	5599
100	629	5599
101	639	5629
102	644	5609
103	653	5629
104	657	5600
105	660	5571
106	663	5540
107	667	5515
108	671	5487
109	674	5460
110	678	5432
111	682	5414
112	686	5388
113	689	5362
114	693	5335
115	696	5308
116	700	5289
117	704	5263
118	707	5240
119	711	5215
120	715	5194
121	718	5173
122	722	5153
123	726	5132
124	730	5110
125	733	5091
126	737	5069
127	740	5047
128	744	5025
129	750	5021
130	753	5000
131	757	4979
132	761	4960
133	766	4950
134	769	4929
135	772	4909
136	776	4890
137	781	4883
138	785	4865
139	788	4845
140	792	4826
141	798	4825
142	802	4809
143	806	4791
144	809	4772
145	815	4769
146	819	4753
147	822	4734
148	825	4716
149	830	4708
150	834	4692
151	838	4677
152	841	4659
153	845	4645
154	849	4631
155	853	4615
156	856	4599
157	860	4587
158	864	4574
159	868	4558
160	871	4541
161	874	4525
162	880	4518
163	883	4504
164	886	4488
165	890	4473
166	895	4467
167	899	4452
168	902	4437
169	905	4422
170	912	4424
171	915	4409
172	919	4394
173	922	4380
174	926	4368
175	930	4354
176	933	4340
177	936	4326
178	944	4330
179	955	4350
180	959	4340
181	962	4326
182	965	4312
183	969	4298
184	972	4286
185	976	4273
186	979	4260
187	983	4246
188	986	4233
189	990	4224
190	994	4212
191	997	4199
192	1001	4187
193	1006	4182
194	1011	4176
195	1015	4165
196	1018	4153
197	1024	4149
198	1027	4137
199	1031	4125
200	1034	4113
201	1040	4111
202	1044	4100
203	1047	4088
204	1051	4076
205	1057	4074
206	1060	4062
207	1063	4050
208	1067	4039
209	1073	4036
210	1076	4025
211	1079	4013
212	1083	4002
213	1087	3993
214	1090	3982
215	1094	3971
216	1097	3960
217	1105	3967
218	1109	3956
219	1112	3945
220	1117	3940
221	1121	3931
222	1125	3920
223	1128	3909
224	1133	3902
225	1137	3894
226	1141	3885
227	1144	3875
228	1147	3864
229	1153	3861
230	1158	3856
231	1161	3845
232	1165	3838
233	1169	3829
234	1173	3819
235	1176	3808
236	1180	3799
237	1185	3794
238	1189	3788
239	1193	3779
240	1201	3783
241	1205	3775
242	1208	3765
243	1213	3761
244	1218	3753
245	1222	3745
246	1225	3736
247	1230	3732
248	1234	3724
249	1238	3715
250	1241	3706
251	1246	3699
252	1249	3689
253	1253	3680
254	1256	3672
255	1261	3667
256	1265	3658
257	1269	3649
258	1272	3641
259	1277	3636
260	1281	3627
261	1284	3619
262	1288	3610
263	1292	3603
264	1297	3599
265	1301	3590
266	1304	3581
267	1309	3577
268	1313	3568
269	1316	3559
270	1320	3550
271	1325	3548
272	1329	3539
273	1332	3531
274	1336	3522
275	1341	3519
276	1345	3511
277	1348	3502
278	1351	3493
279	1357	3491
280	1361	3483
281	1364	3475
282	1368	3467
283	1374	3465
284	1378	3457
285	1381	3449
286	1385	3440
287	1390	3436
288	1396	3434
289	1399	3427
290	1406	3426
291	1410	3419
292	1413	3411
293	1417	3404
294	1422	3399
295	1426	3391
296	1429	3383
297	1432	3375
298	1437	3371
299	1441	3363
300	1445	3356
301	1449	3349
302	1454	3345
303	1457	3337
304	1461	3329
305	1464	3321
306	1469	3316
307	1473	3311
308	1477	3303
309	1480	3295
310	1487	3294
311	1491	3289
312	1494	3281
313	1500	3278
314	1504	3272
315	1508	3264
316	1511	3256
317	1517	3253
318	1520	3246
319	1524	3238
320	1527	3231
321	1534	3230
322	1537	3223
323	1541	3216
324	1545	3210
325	1550	3204
326	1553	3197
327	1557	3190
328	1560	3182
329	1567	3181
330	1571	3176
331	1574	3168
332	1578	3160
333	1583	3156
334	1587	3150
335	1590	3143
336	1594	3136
337	1599	3132
338	1602	3125
339	1606	3118
340	1611	3115
341	1615	3109
342	1619	3101
343	1622	3094
344	1626	3087
345	1630	3082
346	1634	3075
347	1637	3068
348	1641	3061
349	1645	3056
350	1649	3049
351	1652	3042
352	1656	3035
353	1661	3031
354	1665	3025
355	1669	3019
356	1672	3012
357	1679	3011
358	1683	3005
359	1686	2998
360	1689	2991
361	1693	2985
362	1697	2978
363	1700	2972
364	1704	2965
365	1710	2963
366	1714	2957
367	1717	2950
368	1721	2943
369	1726	2939
370	1729	2932
371	1733	2925
372	1736	2919
373	1741	2914
374	1744	2908
375	1748	2901
376	1751	2894
377	1755	2888
378	1759	2883
379	1763	2877
